Timestamp,What is your age?,What pronouns do you use?,What is your nationality or ethnicity?,How often do you use Tik Tok?,What is the first page you visit when you open TikTok?,How much do you use each of these features? [For You page],How much do you use each of these features? [Following page],How much do you use each of these features? [Favorites page],How much do you use each of these features? [Friends Page],How much do you use each of these features? [Discover Page],How much do you use each of these features? [Search bar],How much do you use each of these features? [Like],How much do you use each of these features? [Comment],How much do you use each of these features? [Save],How much do you use each of these features? [Follow],How much do you use each of these features? [Share],How much do you use each of these features? [Not interested ],How much do you use each of these features? [Refresh ],How often do you see content related to your interests in the For You page?,"After using the search bar, what action do you do? [Go to For You Page]","After using the search bar, what action do you do? [Keep scrolling through search results ]","After using the search bar, what action do you do? [Use the search bar again]","After using the search bar, what action do you do? [Other]","After going to the Discover page, what action do you do? [Go to For You Page]","After going to the Discover page, what action do you do? [Stay at Discover Page]","After going to the Discover page, what action do you do? [Other]",How many videos do you watch while checking out an account?,How much content do you watch in the following topics? [Politics],How much content do you watch in the following topics? [Sports],How much content do you watch in the following topics? [Eating Habits],How much content do you watch in the following topics? [Memes],How much content do you watch in the following topics? [Conspiracies],How much content do you watch in the following topics? [Pets],How much content do you watch in the following topics? [Dance],How much content do you watch in the following topics? [Entertainment],How much content do you watch in the following topics? [Food],How much content do you watch in the following topics? [Games],How much content do you watch in the following topics? [Other],Recommend up to 3 political topics of your interest that you have recently watched on Tiktok,"Recommend up to 3 creators or topics that you watch about conspiracies( UFO, Flat Earth, Reptilians, Illuminati, etc)","Recommend up to 3 creators or topics that you watch about eating habits (e.g., balanced meal ideas, cooking tutorials, excessive food consumption, etc.)"
2/24/2024 12:32:32,17,She/her,Black-irish,Multiple times a day,For You,Always,Sometimes,Often,Rarely,Rarely,Always,Always,Rarely,Often,Sometimes,Often,Sometimes,,Often,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,1-5 videos,Never,Sometimes,Never,Always,Sometimes,Often,Always,Always,Always,Sometimes,Sometimes,N/A,N/A,Lily
2/23/2024 18:45:53,24,She/her,Brasileira,Once in a while,Discover,Never,Rarely,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,1-5 videos,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,guerras,nenhum,marmitas praticas
2/24/2024 12:25:11,18,She/her,Irish,Multiple times a day,For You,Often,Rarely,Rarely,Sometimes,Never,Rarely,Often,Never,Sometimes,Rarely,Often,Rarely,,Often,Sometimes,Sometimes,Sometimes,Never,Often,Never,Never,Upto 10 vidoes,Often,Never,Often,Often,Sometimes,Often,Rarely,Always,Often,Sometimes,Often,"War in gaza, cost of living crisis, forced migration ",,"Meal planning, “what i eat in a day” , food challenges"
2/23/2024 16:12:37,26,She/her,Haitian Canadian,Once everyday,For You,Always,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,,Often,Always,Never,Never,Never,Always,Never,Never,1-5 videos,Often,Never,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Woke,Scientology church,Meal prep
3/9/2024 13:18:03,22,He/him,"Quebecker, white",Once in a while,Tiktok sent by friend,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,1-5 videos,Sometimes,Never,Sometimes,Often,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,"Big data policies, finance related (i.e. FED, interest rates, real estate), international politics",NA,Mostly 'for you' stuff on instagram
2/24/2024 10:29:41,17,She/her,irish,Multiple times a day,For You,Always,Sometimes,Often,Rarely,Never,Often,Sometimes,Often,Always,Rarely,Always,Rarely,,Always,Always,Sometimes,Often,Never,Always,Never,Never,Upto 10 vidoes,Sometimes,Never,Often,Always,Sometimes,Sometimes,Often,Often,Often,Often,Often,Genocide of  Isreal to Palestine,Murder Mysteries,"Mukbangs, Eating Diaries"
2/27/2024 14:19:21,21,She/her,Canadian,Multiple times a day,For You,Always,Never,Sometimes,Rarely,Never,Often,Often,Often,Sometimes,Rarely,Always,Rarely,,Always,Always,Sometimes,Rarely,Never,Always,Never,Never,1-5 videos,Always,Sometimes,Often,Always,Sometimes,Sometimes,Rarely,Rarely,Often,Never,Rarely,"Genocide in Gaza, US politics (Aaron Bushnelle) Québec politics (laws about renting an apartment)",I dont watch that much conspiracies and I dont follow any creators,"Mukbangs, healthy meal prep, eating on a budget"
3/8/2024 11:12:10,19,She/her,North African ,Multiple times a day,For You,Always,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Often,Always,Often,Sometimes,Rarely,Often,Never,Sometimes,1-5 videos,Sometimes,Sometimes,Never,Often,Never,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,"Haïti, Palestine, Congo",None,None
3/8/2024 15:19:30,19,He/him,Canadian/White,Once everyday,Search,Sometimes,Sometimes,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Often,Never,Never,Never,Never,Upto 10 vidoes,Never,Rarely,Never,Often,Sometimes,Never,Never,Often,Often,Never,Never,N/A,idk,None
3/11/2024 11:59:45,19,He/him,canadian,Never,"it's just my sister who shows me her feed sometimes, not sure what page",Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,1-5 videos,Never,Never,Never,Often,Never,Never,Never,Rarely,Never,Never,Always,"not applicable, I do not watch that","not applicable, I do not watch that","not applicable, I do not watch that"
2/23/2024 16:33:49,22,She/her,Canadian - Haitian/Italian,Multiple times a day,For You,Always,Often,Never,Rarely,Sometimes,Sometimes,Always,Rarely,Sometimes,Often,Often,Sometimes,,Often,Often,Often,Sometimes,Never,Never,Never,Never,1-5 videos,Rarely,Rarely,Sometimes,Always,Sometimes,Sometimes,Often,Always,Often,Sometimes,Sometimes,,,"thedirtyraven, chefmaxmariola"
3/9/2024 15:00:57,19,She/her,Canadian/Serbian,Never,For You,Always,Often,Rarely,Sometimes,Never,Often,Often,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,Often,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,1-5 videos,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Always,Sometimes,Always,Always good for what is currently going on in the world,N/A,TheKoreanVegan
2/22/2024 21:55:17,21,He/him,South Asian / Bangladeshi,Multiple times a day,For You,Often,Rarely,Never,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,,Often,Often,Rarely,Rarely,Never,Often,Sometimes,Never,Upto 10 vidoes,Often,Sometimes,Rarely,Often,Rarely,Rarely,Often,Often,Often,Never,Often,,,
2/23/2024 15:45:08,15,He/him,Brazilian,Multiple times a day,For You,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Never,Often,Rarely,Often,Sometimes,,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,1-5 videos,Rarely,Often,Rarely,Often,Never,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,,,
2/23/2024 16:29:33,21,She/her,Canadien,Multiple times a day,For You,Always,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Always,Never,,Always,Rarely,Always,Often,Never,Often,Sometimes,Often,1-5 videos,Sometimes,Rarely,Often,Often,Never,Sometimes,Rarely,Never,Always,Rarely,Always,,,
2/24/2024 10:35:44,17,She/her,sudanese,Multiple times a day,For You,Always,Never,Rarely,Rarely,Never,Often,Often,Never,Never,Never,Often,Rarely,,Often,Always,Rarely,Sometimes,Never,Often,Sometimes,Never,1-5 videos,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,,,
2/24/2024 13:42:49,19,She/her,Irish,Multiple times a day,For You,Always,Rarely,Never,Rarely,Never,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Rarely,,Sometimes,Often,Never,Never,Rarely,Always,Rarely,Never,1-5 videos,Rarely,Rarely,Often,Often,Often,Often,Often,Often,Often,Rarely,Often,,,
2/25/2024 12:56:23,22,She/her,brazilian ,Multiple times a day,For You,Always,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Always,Sometimes,Rarely,Often,Never,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1-5 videos,Rarely,Sometimes,Often,Often,Rarely,Often,Often,Often,Often,Often,Often,,,
2/28/2024 14:16:35,20,She/her,"Chinese, Mauritian (nationality: Canadian)",Multiple times a day,For You,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,1-5 videos,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,,,
2/28/2024 16:23:20,21,He/him,c,Multiple times a day,For You,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,1-5 videos,Often,Often,Often,Often,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,,,
2/28/2024 21:03:58,19,He/him,Chinese,Multiple times a day,For You,Always,Sometimes,Rarely,Rarely,Sometimes,Often,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Often,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Upto 10 vidoes,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Often,Never,,,
2/28/2024 22:16:38,17,He/him,Caucasian (Azerbaijani),Multiple times a day,For You,Always,Rarely,Often,Rarely,Never,Sometimes,Sometimes,Never,Often,Never,Never,Never,Never,Often,Always,Rarely,Never,Never,Always,Never,Never,1-5 videos,Rarely,Often,Rarely,Often,Sometimes,Never,Rarely,Sometimes,Sometimes,Often,Sometimes,,,
2/29/2024 14:34:23,21,She/her,canadian,Multiple times a day,For You,Always,Rarely,Often,Rarely,Rarely,Often,Often,Rarely,Often,Often,Often,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,1-5 videos,Rarely,Rarely,Rarely,Always,Never,Often,Never,Often,Sometimes,Rarely,Often,,,
2/29/2024 14:45:03,20,She/her,French,Multiple times a day,For You,Always,Never,Sometimes,Sometimes,Never,Rarely,Often,Rarely,Often,Often,Sometimes,Rarely,Rarely,Often,Always,Often,Rarely,Never,Always,Rarely,Never,1-5 videos,Often,Never,Rarely,Often,Never,Always,Often,Always,Rarely,Rarely,Rarely,"France's political situation in the parliament, videos about what we know about North Korea, what were the political beliefs of the last century that brought us to where we are today",,
2/29/2024 15:55:51,19,She/her,Arab Albanian Canadian/American ,Multiple times a day,For You,Always,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Often,Rarely,Rarely,Often,Often,Sometimes,Rarely,Rarely,Never,Never,Never,1-5 videos,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,"Palestine, US election, Congo ",,
3/1/2024 11:34:40,23,He/him,Canadian,Multiple times a day,Friends,Sometimes,Often,Rarely,Always,Rarely,Sometimes,Always,Always,Often,Always,Often,Sometimes,Often,Often,Sometimes,Never,Never,Often,Rarely,Rarely,Rarely,1-5 videos,Rarely,Never,Rarely,Often,Never,Rarely,Rarely,Always,Sometimes,Rarely,Often,,,
3/2/2024 12:22:16,23,He/him,Canada,Multiple times a day,For You,Always,Rarely,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Sometimes,Never,Often,Often,Sometimes,Sometimes,Never,Never,Never,Never,1-5 videos,Often,Never,Never,Sometimes,Never,Often,Never,Sometimes,Often,Sometimes,Sometimes,Israel/Palestine,,
3/7/2024 12:47:02,20,She/her,Canadian,Multiple times a day,For You,Always,Rarely,Rarely,Rarely,Rarely,Often,Often,Often,Always,Rarely,Rarely,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,1-5 videos,Often,Sometimes,Rarely,Always,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Often,"The genocide in Palestine, US elections, Sudan and Congo",,
3/7/2024 13:24:29,20,He/him,Canadian,Multiple times a day,For You,Always,Sometimes,Never,Never,Rarely,Often,Always,Never,Sometimes,Sometimes,Always,Rarely,Rarely,Often,Often,Rarely,Sometimes,Never,Always,Never,Never,Upto 10 vidoes,Rarely,Always,Never,Always,Never,Often,Never,Never,Sometimes,Often,Never,,,
3/7/2024 14:26:12,20,She/her,Canadian,Multiple times a day,For You,Always,Sometimes,Often,Sometimes,Rarely,Sometimes,Always,Always,Always,Always,Often,Always,Often,Often,Often,Often,Rarely,Rarely,Always,Sometimes,Never,Upto 10 vidoes,Rarely,Rarely,Sometimes,Always,Sometimes,Often,Always,Always,Always,Often,Sometimes,,,
3/7/2024 15:13:17,20,He/him,Italian-Canadian,Multiple times a day,For You,Always,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Always,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Never,Upto 10 vidoes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,
3/7/2024 15:18:25,19,She/her,Asian Canadian,Multiple times a day,For You,Always,Sometimes,Rarely,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Often,Sometimes,Always,Sometimes,Never,Often,Rarely,Never,Upto 10 vidoes,Often,Often,Sometimes,Often,Rarely,Always,Always,Always,Always,Always,Always,,,
3/7/2024 16:35:47,21,She/her,White,Multiple times a day,For You,Always,Never,Sometimes,Rarely,Rarely,Sometimes,Always,Never,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Often,Often,Rarely,Rarely,Always,Rarely,Rarely,1-5 videos,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Rarely,Often,,,
3/7/2024 20:04:15,18,She/her,Senegalese,Multiple times a day,For You,Always,Rarely,Rarely,Often,Never,Often,Often,Rarely,Sometimes,Rarely,Often,Sometimes,Often,Often,Always,Always,Sometimes,Never,Never,Never,Never,1-5 videos,Sometimes,Rarely,Rarely,Always,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,,,
3/7/2024 23:01:42,19,She/her,Chinese Canadian,Multiple times a day,For You,Always,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Always,Sometimes,Sometimes,Always,Always,Always,Often,Often,Often,Sometimes,Never,Always,Never,Never,1-5 videos,Sometimes,Sometimes,Rarely,Often,Never,Often,Sometimes,Often,Sometimes,Always,Often,,,
3/7/2024 23:53:00,20,She/her,American,Multiple times a day,For You,Always,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,Never,Always,Never,Never,1-5 videos,Sometimes,Never,Sometimes,Rarely,Never,Often,Sometimes,Often,Often,Rarely,Sometimes,,,
3/8/2024 12:03:13,21,She/her,Canadian,Multiple times a day,For You,Often,Rarely,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Never,Often,Rarely,Often,Often,Sometimes,Rarely,Never,Rarely,Rarely,Never,Upto 10 vidoes,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Often,,,
3/8/2024 13:36:31,20,She/her,Turkish,Multiple times a day,For You,Always,Never,Rarely,Never,Never,Often,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Often,Often,Often,Often,Often,Sometimes,Often,Never,Rarely,1-5 videos,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,,,
3/9/2024 10:00:31,19,She/her,Turkish,Multiple times a day,Following,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Often,Rarely,Often,Rarely,Never,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1-5 videos,Never,Always,Often,Rarely,Never,Never,Never,Sometimes,Often,Never,Never,,,
3/10/2024 13:45:23,18,She/her,"Lebanese, Middle eastern ",Multiple times a day,For You,Always,Never,Always,Rarely,Sometimes,Often,Often,Never,Often,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Often,Rarely,Never,Always,Never,Always,1-5 videos,Never,Often,Rarely,Sometimes,Never,Often,Often,Always,Sometimes,Rarely,Often,,,
3/10/2024 15:49:59,20,He/him,Bolivian,Multiple times a day,For You,Often,Always,Never,Rarely,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,Never,Often,Rarely,Never,1-5 videos,Often,Always,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Always,"US elections, corruption in Latin America, political/economic crisis in Bolivia",,
3/10/2024 18:08:57,20,He/him,Cameroonian,Multiple times a day,Search,Always,Sometimes,Rarely,Never,Never,Always,Sometimes,Never,Often,Rarely,Never,Never,Never,Always,Often,Often,Often,Rarely,Always,Never,Never,Upto 10 vidoes,Sometimes,Rarely,Never,Often,Never,Never,Often,Always,Sometimes,Sometimes,Rarely,,,
3/10/2024 22:14:51,20,She/her,Canada/ Morocco,Multiple times a day,For You,Often,Never,Often,Never,Never,Sometimes,Often,Never,Often,Rarely,Sometimes,Rarely,Rarely,Often,Always,Sometimes,Sometimes,Never,Always,Never,Never,1-5 videos,Rarely,Never,Never,Often,Never,Never,Never,Often,Never,Never,Never,,,
3/11/2024 16:20:17,21,He/him,African american,Multiple times a day,For You,Always,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Never,Always,Rarely,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Never,Never,Always,Never,Never,Upto 10 vidoes,Never,Never,Never,Often,Never,Never,Never,Often,Sometimes,Often,Never,,,
3/11/2024 17:14:27,19,She/her,Lebanese,Multiple times a day,For You,Always,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Never,Sometimes,Often,Often,Sometimes,Often,Always,Often,Often,Never,Never,Often,Never,Never,Upto 10 vidoes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Always,Always,Often,Often,,,
3/12/2024 10:21:45,18,He/him,White,Multiple times a day,For You,Always,Never,Never,Never,Rarely,Sometimes,Always,Never,Often,Never,Always,Rarely,Sometimes,Always,Always,Rarely,Rarely,Rarely,Always,Never,Never,1-5 videos,Sometimes,Always,Rarely,Always,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Never,2024 US Presidential Election,,
3/12/2024 20:57:58,22,He/him,Chinese,Multiple times a day,For You,Always,Often,Sometimes,Often,Never,Rarely,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Often,Often,Often,Often,Often,Often,Often,Never,1-5 videos,Sometimes,Sometimes,Rarely,Often,Never,Sometimes,Sometimes,Often,Often,Often,Often,,,
3/15/2024 10:47:39,21,She/her,asian,Multiple times a day,For You,Always,Never,Rarely,Never,Never,Often,Always,Always,Sometimes,Sometimes,Often,Always,Always,Often,Always,Always,Always,Never,Always,Never,Never,1-5 videos,Never,Never,Sometimes,Sometimes,Never,Often,Rarely,Always,Sometimes,Always,Always,,,
3/15/2024 11:41:21,21,Any,Canadian,Multiple times a day,For You,Always,Rarely,Rarely,Never,Never,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Often,Sometimes,Sometimes,Never,Never,Never,1-5 videos,Sometimes,Rarely,Sometimes,Sometimes,Never,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,,,
2/28/2024 15:54:56,21,He/him,Canadian,Never,Used to be following,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never go into accounts,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,
3/7/2024 13:26:24,20,He/him,Algerian,Never,N/A,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never go into accounts,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,
3/7/2024 14:53:21,19,He/him,Chinese,Never,N/A,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never go into accounts,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,
3/13/2024 16:23:10,20,She/her,American,Never,For You,Always,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Often,Sometimes,Sometimes,Rarely,Often,Always,Often,Rarely,Always,Never,Never,Upto 10 vidoes,Never,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,,,
3/8/2024 1:23:30,19,He/him,Colombian,Once every week,For You,Always,Sometimes,Never,Never,Rarely,Sometimes,Never,Often,Often,Rarely,Often,Often,Often,Often,Always,Rarely,Never,Often,Often,Never,Never,1-5 videos,Rarely,Never,Sometimes,Often,Never,Rarely,Rarely,Often,Never,Often,Always,,,
2/23/2024 13:48:20,27,He/him,Brazilian,Once everyday,Friends,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,1-5 videos,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Rarely,,,
2/23/2024 20:14:55,26,She/her,Algerian ,Once everyday,Discover,Never,Rarely,Rarely,Rarely,Often,Sometimes,Never,Never,Never,Rarely,Often,Never,,Often,Rarely,Often,Rarely,Never,Rarely,Often,Never,1-5 videos,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Never,Never,,,
3/4/2024 14:56:56,20,She/her,White,Once everyday,Following,Often,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1-5 videos,Often,Never,Rarely,Often,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Often,,,
3/7/2024 14:58:53,22,He/him,Chinese,Once everyday,Following,Rarely,Sometimes,Often,Rarely,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Sometimes,Always,Always,Often,Often,Rarely,Always,Rarely,Sometimes,Upto 10 vidoes,Sometimes,Never,Often,Often,Never,Often,Rarely,Always,Often,Rarely,Rarely,,,
3/7/2024 15:06:34,20,He/him,Quebecois/Canadian,Once everyday,For You,Always,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Never,Never,Always,Often,Often,Sometimes,Never,Always,Never,Never,1-5 videos,Rarely,Rarely,Rarely,Always,Rarely,Sometimes,Often,Often,Often,Always,Sometimes,,,
3/7/2024 20:47:11,20,She/her,Venezuelan,Once everyday,For You,Always,Rarely,Never,Never,Never,Often,Often,Never,Always,Sometimes,Rarely,Often,Sometimes,Always,Always,Often,Often,Sometimes,Always,Never,Never,Upto 10 vidoes,Never,Sometimes,Never,Always,Never,Never,Always,Always,Rarely,Never,Always,,,
3/8/2024 18:50:42,19,She/her,Asian,Once everyday,For You,Often,Never,Never,Rarely,Never,Often,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Always,Often,Sometimes,Rarely,Never,Often,Never,Never,1-5 videos,Sometimes,Sometimes,Sometimes,Often,Never,Always,Never,Often,Always,Often,Never,,,
3/8/2024 19:09:20,20,She/her,USA,Once everyday,For You,Often,Often,Rarely,Often,Rarely,Often,Often,Sometimes,Often,Often,Often,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,1-5 videos,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Always,Often,Often,Sometimes,,,
3/9/2024 15:59:03,18,She/her,Chinese,Once everyday,For You,Always,Never,Sometimes,Rarely,Sometimes,Sometimes,Often,Never,Never,Rarely,Rarely,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,1-5 videos,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,Often,Often,Often,Often,Sometimes,,,
3/13/2024 16:25:11,19,She/her,Indian,Once everyday,For You,Always,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Often,Sometimes,Rarely,Often,Always,Sometimes,Sometimes,Never,Often,Rarely,Never,1-5 videos,Rarely,Sometimes,Never,Often,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Often,,,
3/15/2024 13:15:42,21,She/her,Chinese Canadian,Once everyday,For You,Always,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Rarely,Often,Never,Rarely,1-5 videos,Rarely,Never,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Never,Sometimes,,,
2/23/2024 13:51:15,18,She/her,Canadian,Once in a while,Search,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Sometimes,Never,,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,1-5 videos,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,,,
3/7/2024 13:16:58,19,She/her,White Canadian,Once in a while,For You,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Often,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never go into accounts,Rarely,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,,,
3/7/2024 15:41:47,19,She/her,Canadian (Québec),Once in a while,Search,Rarely,Never,Never,Rarely,Never,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Never,1-5 videos,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Often,,,
3/8/2024 11:44:38,22,He/him,White (Serbian),Once in a while,For You,Rarely,Rarely,Never,Never,Rarely,Rarely,Often,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,Never,1-5 videos,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,,,
3/10/2024 23:46:50,22,She/her,Egyptian,Once in a while,For You,Always,Rarely,Sometimes,Never,Never,Sometimes,Always,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Never,Never,Never,Never,1-5 videos,Sometimes,Often,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Often,,,
3/18/2024 0:03:37,20,He/him,French,Never,Following,Always,Always,Never,Never,Never,Rarely,Always,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Never,Often,Often,Never,Upto 10 vidoes,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Often,Rarely,Rarely,Always,,,
